userName,user.Count,user.Categories.Countuser.FavoritesCount,user.FollowersCount,user.FriendsCount,user.ListedCount,user.Location,user.Name,user.Notifications,user.Page,user.ScreenName,user.ScreenNameList,user.ScreenNameResponse,user.Slug,user.Status,user.StatusesCount,user.TimeZone,user.Type,user.Url,user.UserID,user.UserIdList,user.UserIDResponse,user.UtcOffset,user.Verified
ialsmadi,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
AndraZaharia,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
JamilaHanan,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
BaselSaqr,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
googledevs,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
Ethraa_group,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
FirewallVirus,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
googleresearch,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
MuslimMarine,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
CT_Shoreline,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
CT_Innovate,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
ctnext,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
necharters,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
benfrederickson,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
CTTech,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
GissiSim,0,0604,47,140,2,,Izzat Alsmadi,False,0,,,ialsmadi,,LinqToTwitter.Status,117,,Show,,0,,1976215495,0,False
