user1.UserID,user1.Name,node1,user2.UserID,user2.Name,node2
0,Izzat Alsmadi,ialsmadi,0,Mohammad Tubishat,MohammadTubish
0,Izzat Alsmadi,ialsmadi,0,Tomaz Amon,TomazAmon
0,Izzat Alsmadi,ialsmadi,0,Heider A. Wahsheh,heiderwahsheh
0,Izzat Alsmadi,ialsmadi,0,Bader Al-Balushi,baderbalushi
0,Izzat Alsmadi,ialsmadi,0,aحmadov,ahmedalyenno
0,Izzat Alsmadi,ialsmadi,0,Jamila Hanan,JamilaHanan
0,Izzat Alsmadi,ialsmadi,0,rody elhwamed,tutuelsheikh121
0,Izzat Alsmadi,ialsmadi,0,Ahmad Alyaseen,ahmad_alyaseen
0,Izzat Alsmadi,ialsmadi,0,~~~,politics_q8
0,Izzat Alsmadi,ialsmadi,0,ياسر الجوهرى,YASSERyassser12
0,Izzat Alsmadi,ialsmadi,0,muayyad smadi,abualayham
0,Izzat Alsmadi,ialsmadi,0,براء الصحفي,BaraaEbarals
0,Izzat Alsmadi,ialsmadi,0,Majed A.  AlRubaian,MajedAlRubaian
0,Izzat Alsmadi,ialsmadi,0,OpenDaylight Project,OpenDaylightSDN
0,Izzat Alsmadi,ialsmadi,0,Dr Paul Watters,DrPaulWatters
0,Izzat Alsmadi,ialsmadi,0,Eman H. Abouelatta,EmanAbouelatta
0,Izzat Alsmadi,ialsmadi,0,Telco Systems,TelcoSystems
0,Izzat Alsmadi,ialsmadi,0,الشعيبي البيحاني,hasan_alsheapi
0,Izzat Alsmadi,ialsmadi,0,Hisham Almubaid,hisham9
0,Izzat Alsmadi,ialsmadi,0,Salam Al-E'mari HKJ,salam_ammari
0,Izzat Alsmadi,ialsmadi,0,Nasser ALFahadi,NasserALFahadi
0,Izzat Alsmadi,ialsmadi,0,Ramy Hassanien,ramy1712
0,Izzat Alsmadi,ialsmadi,0,hisham affouri هشام,hafouri
0,Izzat Alsmadi,ialsmadi,0,Nader Tashtoush,drntash
0,Izzat Alsmadi,ialsmadi,0,Hesham Abandah,hesham_cs
0,Izzat Alsmadi,ialsmadi,0,Louy Nazzal,LouyNzl
0,Izzat Alsmadi,ialsmadi,0,د. سامي السرحاني#غزة,Abukhattab2012
0,Izzat Alsmadi,ialsmadi,0,Prince Ahmad Masri,AhmadMasri32
0,Izzat Alsmadi,ialsmadi,0,Saif A. Kazakzeh,xsaifahmadx
0,Izzat Alsmadi,ialsmadi,0,Burhan Barhoush,bbarhoush
0,Izzat Alsmadi,ialsmadi,0,Israa jarrah,israajarrah
0,Izzat Alsmadi,ialsmadi,0,Nader Shwiat,Nader_Shwiat
0,Izzat Alsmadi,ialsmadi,0,Mohammed Alsharafi,Abu_Abdulghani
0,Izzat Alsmadi,ialsmadi,0,Dr. Ahmad Al-Omari,Ahmedelomari
0,Izzat Alsmadi,ialsmadi,0,Ahmed AlEroud,ahmedswek
0,Izzat Alsmadi,ialsmadi,0,Siraj Al-Share,Sirajalshare
0,Izzat Alsmadi,ialsmadi,0,Info,Balance_Code
0,Izzat Alsmadi,ialsmadi,0,shurouq shihadeh,shurouqshihadeh
0,Izzat Alsmadi,ialsmadi,0,Basil Altaie,BasilAltaie
0,Izzat Alsmadi,ialsmadi,0,Taha Sharafi,TSharafi
0,Izzat Alsmadi,ialsmadi,0,harith alhadrusi,alhadrusi
0,Izzat Alsmadi,ialsmadi,0,Qosai Zoubi,ZoubiQosai
0,Izzat Alsmadi,ialsmadi,0,arwa abuasad,arwa_abuasad
0,Izzat Alsmadi,ialsmadi,0,yassin sharafi,Yassin_Sharafi
0,Izzat Alsmadi,ialsmadi,0,Audai M. Shawaheen,audaish
0,Izzat Alsmadi,ialsmadi,0,Michael A. Peters,mpeters001
0,Izzat Alsmadi,ialsmadi,0,Aid Radaideh®,aidradaideh
0,Mohammad Tubishat,MohammadTubish,0,اسأل المدينة المنورة,Ask_Almadina
0,Mohammad Tubishat,MohammadTubish,0,محاضر لغة إنجليزية,haythamhashem2
0,Mohammad Tubishat,MohammadTubish,0,عبدالرحمن الردادي,ab_raddadi
0,Mohammad Tubishat,MohammadTubish,0,أخبار العرب,ArabiaNewsDaily
0,Mohammad Tubishat,MohammadTubish,0,weijie gao,weijie_gao
0,Mohammad Tubishat,MohammadTubish,0,الشيخه فطيم أل مكتوم,Fatemm3Fatemm
0,Mohammad Tubishat,MohammadTubish,0,شهادات جامعية للبيع,shahada444
0,Mohammad Tubishat,MohammadTubish,0,زئير الليوث,_k0ra
0,Mohammad Tubishat,MohammadTubish,0,zainab rawashdeh,zanzoon111
0,Mohammad Tubishat,MohammadTubish,0,Dr Tarek Shehata,DrTarekShehata
0,Mohammad Tubishat,MohammadTubish,0,Eng.Ayman Al-amaireh,AymanAmaireh
0,Mohammad Tubishat,MohammadTubish,0,ام دانه,MN5252
0,Mohammad Tubishat,MohammadTubish,0,Hisham Bdour,Hmbdour
0,Mohammad Tubishat,MohammadTubish,0,Moa'ath Tbaishat,MoaathTbaishat
0,Tomaz Amon,TomazAmon,0,J.D.,iownjd
0,Tomaz Amon,TomazAmon,0,Ben Landis,benlandis
0,Tomaz Amon,TomazAmon,0,ClassFlow,ClassFlow
0,Tomaz Amon,TomazAmon,0,HollyRilingerFitness,hollyrilinger
0,Tomaz Amon,TomazAmon,0,Panama Roadrunner,PanamaRR
0,Tomaz Amon,TomazAmon,0,Mark Goulston, M.D.,MarkGoulston
0,Tomaz Amon,TomazAmon,0,Dreamfuel,DreamfuelMe
0,Tomaz Amon,TomazAmon,0,After Mastectomy,AfterMastectomy
0,Tomaz Amon,TomazAmon,0,RAFT,RaftCharity
0,Tomaz Amon,TomazAmon,0,Dj Lashay,MICHELLEgotBARS
0,Tomaz Amon,TomazAmon,0,James A. Gardner,jamesagardner
0,Tomaz Amon,TomazAmon,0,Randall Marmet´,RandallMarmet
0,Tomaz Amon,TomazAmon,0,Pro Education News,ProEducatioNews
0,Tomaz Amon,TomazAmon,0,Anderw Zakkikiki,AndrewZaki1
0,Tomaz Amon,TomazAmon,0,Peter Ohnemus,peterohnemus
0,Tomaz Amon,TomazAmon,0,Portsmouth Lover,PortsmouthLover
0,Tomaz Amon,TomazAmon,0,Matt Luecht,MattLuecht
0,Tomaz Amon,TomazAmon,0,Roy Oliver,AskRoyOliver
0,Tomaz Amon,TomazAmon,0,natural effects,naturaleffects9
0,Tomaz Amon,TomazAmon,0,Earth_in_Three,letest_india
0,Tomaz Amon,TomazAmon,0,Anthony Miyazaki PhD,sensiblefolk
0,muayyad smadi,abualayham,0,Ziad Mari,ziad_mari
0,muayyad smadi,abualayham,0,Yousef Haj Ali,AboYa3qoub
0,muayyad smadi,abualayham,0,khaled alturk,khaledalturk
0,muayyad smadi,abualayham,0,العراب,al3raabq8q8
0,muayyad smadi,abualayham,0,S7r Aljefri,AljefriSahar
0,muayyad smadi,abualayham,0,الاكثر مشاهدة,TheTopVideo
0,muayyad smadi,abualayham,0,احمد الرمانيⓂ️,a7bk666
0,muayyad smadi,abualayham,0,تطوير الذات,Ho
0,muayyad smadi,abualayham,0,ENG Ashraf smadi,ENG_SMADI1
0,muayyad smadi,abualayham,0,mahmuodkalbaz,mahmuodkalbaz
0,muayyad smadi,abualayham,0,soliman abu halemeh,soliman78m
0,muayyad smadi,abualayham,0,mohannad,mohannadalbess
0,muayyad smadi,abualayham,0,mohannad albess,mohannadnec
0,muayyad smadi,abualayham,0,smadi ahmad ,ahmadsmadi72
0,muayyad smadi,abualayham,0,ayman aldradkeh,drdok12
0,muayyad smadi,abualayham,0,sufian taha,sufiantaha
0,muayyad smadi,abualayham,0,mohammad,mohdbess
0,muayyad smadi,abualayham,0,Mohammad Saleh,MohdbessSaleh
0,muayyad smadi,abualayham,0,yasmin noor,yasmin_noor
0,muayyad smadi,abualayham,0,أخبار الأردن - الرأي,alrai
0,muayyad smadi,abualayham,0,Imad Taha,imadtaha
0,براء الصحفي,BaraaEbarals,0,Sky High Advertising,SkyHighDXB
0,براء الصحفي,BaraaEbarals,0,Robert Clarke,robertclarkey
0,براء الصحفي,BaraaEbarals,0,lashon cournoyer,inciongnp34
0,براء الصحفي,BaraaEbarals,0,Paul McGillicuddy,phmcgillicuddy
0,براء الصحفي,BaraaEbarals,0,طارق سالم الحربي 34K,Dr_alharbieT
0,براء الصحفي,BaraaEbarals,0,نحت اسماء,CarvingNames
0,براء الصحفي,BaraaEbarals,0,Mohammed Abdullah,ma1624924
0,براء الصحفي,BaraaEbarals,0,Economy BusinessMag,EconomyMag
0,براء الصحفي,BaraaEbarals,0,خطاط أبوظبي - الآغا,KHATAT_ABUDHABI
0,براء الصحفي,BaraaEbarals,0,أبو زياد مسعد الصحفي,zmh999922221
0,براء الصحفي,BaraaEbarals,0,ghran30,ghran9208
0,براء الصحفي,BaraaEbarals,0,mohammad jawad,244_964
0,براء الصحفي,BaraaEbarals,0,ET,EDUtrip_SA
0,براء الصحفي,BaraaEbarals,0,المسافرون Travellers,arab_traveller
0,براء الصحفي,BaraaEbarals,0,LordeFans,LordeFansDaily
0,براء الصحفي,BaraaEbarals,0,سعد و يوسف,abd1al8adr761
0,براء الصحفي,BaraaEbarals,0,CRM Top News,CRMTopNews
0,براء الصحفي,BaraaEbarals,0,عبد الرحمن محمود,apdapdapd50
0,براء الصحفي,BaraaEbarals,0,ﻤآسٍگ آلهـوآ☕ بأديِآ,mmyj339
0,براء الصحفي,BaraaEbarals,0,رزان,retail482
0,براء الصحفي,BaraaEbarals,0,الخطاط المصمم الآغا,alaghaarts6
0,براء الصحفي,BaraaEbarals,0,تصميم وبرمجة المواقع,yoctomaxweb
0,براء الصحفي,BaraaEbarals,0,الموارد البشريه | HR,Hr_2o16
0,براء الصحفي,BaraaEbarals,0,maher alsahafi,maheralsahafi
0,براء الصحفي,BaraaEbarals,0,زارا بيوتي,zarabeautyy
0,براء الصحفي,BaraaEbarals,0,Dr. Sameer Hussain,smamhussain
0,براء الصحفي,BaraaEbarals,0,رنين للإلكترونيات,raneen03
0,براء الصحفي,BaraaEbarals,0,Social In Atlanta,SocialInAtlanta
0,براء الصحفي,BaraaEbarals,0,SPSS خدمات الطالب,SpssProf
0,براء الصحفي,BaraaEbarals,0,رتويت#سبق_حرب,sabq__harb
0,براء الصحفي,BaraaEbarals,0,#اخبار_السوق,Souq_News
0,براء الصحفي,BaraaEbarals,0,Danita Gruner,DanitaGruner10
0,براء الصحفي,BaraaEbarals,0,مخابرات الخلافة,Irhabi007Klita
0,براء الصحفي,BaraaEbarals,0,الخطاط المصمم الآغا,alaghaarts1
